personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,organization,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,planning,spontaneity,adventurousness,reading_habit,sports_interest,online_social_usage,travel_desire,gadget_usage,work_style_collaborative,decision_speed,stress_handling
Extrovert,6.224573505,2.977163061,7.345717713,3.52217765,6.749606539,9.670481335,8.921048378,4.279842993,9.854760031,5.349031815,8.146836072,7.832074456,7.305008371,5.968711553,3.011412324,7.012724726,7.554395899,6.095978615,2.898273439,7.056146301,7.687867472,3.056376443,7.08106327,7.697827605,9.442747904,7.9237524,7.407608631,6.671798669,6.898844982
Ambivert,6.41824289,7.124752032,4.796341288,5.268101097,7.645558072,5.119789854,6.523326386,8.862700247,7.477122526,5.617486781,5.858412192,7.855855613,6.764693453,4.481237329,7.297082242,5.322406406,4.243496479,7.003234558,5.319080852,8.810868748,4.679775665,5.275616061,6.747508835,6.106065962,4.732697975,5.564159899,7.064318336,4.895488523,5.835382497
Extrovert,9.804796037,3.422029535,8.740685235,4.324434839,6.708946709,9.430157775,6.702739966,5.635234007,7.080242068,3.690689132,6.226188617,7.093648267,6.370211851,6.537221237,3.549684339,7.559212062,7.168007826,8.120032349,6.174223601,8.477489735,7.331953638,3.815494234,4.373120995,7.550312515,7.888329464,4.989118386,8.383514054,7.35671199,3.190182937
Introvert,4.770476759,7.243475265,3.28961879,7.856514157,6.359554886,1.586703093,10,5.492344522,6.032318059,7.648610016,5.111722904,2.613771016,4.327410243,6.857272332,6.985583253,3.690474715,6.376046031,6.593995306,6.879567867,4.997323948,2.498901845,9.56374777,3.705787019,5.162773526,3.427721465,4.255346589,3.762298997,3.115251277,7.708722795
Extrovert,6.127984117,1.777686335,9.232849721,2.77305,9.431121742,4.441275384,4.322600215,3.490812226,6.979484725,6.768417491,8.643575823,7.713740607,8.284800621,4.029461161,3.419541313,8.857523286,9.472056521,5.773028108,3.287302384,6.830847649,8.874871152,4.179874842,4.451499812,9.0460528,5.501610809,5.464325235,7.278651555,6.03097883,6.612640541
Extrovert,8.749687596,2.094937965,10,1.714225912,9.768181186,5.933572522,5.627011386,5.227844822,8.320758551,4.826499308,7.141372373,9.112638617,6.104953481,6.571155536,2.631799204,5.047668402,5.987239856,6.244604078,5.391140401,8.642776004,8.178929837,2.63912543,7.501710156,6.221323348,5.50549529,5.991665314,8.757671074,7.521176703,5.337509917
Ambivert,7.650625051,5.741153404,5.947984999,3.81248712,5.953059784,5.788556052,5.171274395,5.735074686,5.531359432,6.469464399,7.002908834,7.904596481,3.587562302,5.048515092,5.372386348,5.031347062,4.26081221,6.568638673,4.101220554,6.090344223,4.893363328,7.296948543,6.999211314,5.841488463,4.997149604,4.974586514,7.216090482,7.632490037,8.492021395
Introvert,3.764494662,7.440810188,3.88958566,6.198820432,2.297492921,4.562222039,5.884525857,7.111696317,6.294294445,8.738679778,6.275565783,3.82734589,0,5.644610684,10,0.022074552,7.624887582,8.110211224,5.491555255,3.902128763,1.642341727,9.356247069,5.410423077,3.220221352,2.198610168,6.110134015,8.183696222,2.792695956,4.772790808
Ambivert,6.217614525,3.88534107,9.184452278,4.440156427,3.4495979,3.813180679,4.517801817,9.042729115,4.526037791,8.042128312,6.189949784,4.892274526,5.017249215,6.252922908,3.815883572,1.845848001,7.770742517,7.339491539,5.208912183,4.834983124,7.292920675,4.655056478,4.517259045,5.830173427,5.115772418,6.041724579,7.20692399,2.888624936,5.023043555
Ambivert,4.792536132,7.010073784,6.35601482,6.318466895,7.257878257,7.30596347,5.204027248,5.157869476,7.371603213,8.063683127,5.338977577,1.440005673,8.310990797,5.528825468,3.564498761,4.812237854,5.736220251,2.926504305,8.370863538,7.470421065,4.814352298,7.800569604,5.308085334,7.343834914,8.036870579,5.733282889,5.815790328,3.278809083,9.086688527
Introvert,3.330164736,8.228467037,2.265489594,6.794409496,3.855159216,0.326004678,10,7.173323227,6.158295793,5.149120755,2.774261793,1.03154752,6.268839039,2.887482471,5.817807466,3.294959248,5.244258474,5.595319898,8.327016528,1.276005552,5.318821575,7.860151194,2.863216874,3.900885949,4.155856131,7.918048091,4.454143397,3.684523216,5.340471679
Extrovert,9.85447727,3.412079242,7.897513716,2.833735158,7.328075382,7.344804382,4.418056644,5.606648111,7.634591051,6.737143479,4.049822556,6.860453588,7.774460221,8.293694361,3.488681504,6.490771257,6.945911152,5.204404062,3.403286214,9.64469733,8.862661211,4.997218924,7.670134076,7.843067541,7.209895036,4.789698133,9.692872906,7.055350508,5.533742387
Ambivert,5.992313453,4.266064353,3.001260404,4.119611442,6.984722511,4.896816734,7.549744854,8.518882663,4.52801231,5.979899439,7.416675096,5.050556399,5.566312681,7.108203796,2.605729679,4.370216064,8.466917661,7.720733208,4.944607581,3.754684935,6.453413592,8.419819528,6.978347642,8.08187188,3.283989285,2.624041806,7.184151429,6.159814018,3.849415786
Ambivert,3.627587866,3.937603392,6.318196754,4.147290377,9.951623986,5.645668818,8.474601397,6.845750544,4.863933749,7.304311142,5.80324873,2.825384543,1.410842606,7.907439681,1.464202608,7.516914965,7.472120429,6.873460432,5.995668182,5.88731558,5.23321314,5.070246461,3.853408951,4.880174938,6.386092257,7.628056064,5.00127701,6.609425944,5.087191101
Extrovert,7.315937489,2.756646015,7.175735374,2.106887465,8.057923763,8.775912007,5.51298807,7.805008804,7.95635009,8.173517004,6.827566391,6.000863769,6.015920215,8.470717777,2.423202965,9.611044816,8.456965962,4.484802878,4.275581101,5.074723242,4.717757062,4.286883928,5.613675633,9.659347207,4.02152331,5.808127793,10,7.766644521,8.08575511
Introvert,4.813919308,4.957676871,1.663838388,7.880392328,5.660936202,1.837043142,10,5.499671302,7.393798397,6.390203713,5.837467082,0,0.804925749,7.221350129,6.677763875,4.879127316,4.408044967,4.589424186,9.333602017,1.559292542,4.268895339,9.352017675,2.508610698,6.118661075,5.748058361,3.770844962,2.541258922,2.476828239,7.27035198
Extrovert,8.487114981,4.169719965,6.702374934,5.563124657,7.765396747,10,5.62798306,8.842687711,6.742039534,5.330654045,8.8716413,7.392486247,8.504863638,6.80353597,2.053179733,6.266146731,9.039174142,7.395123949,2.946984209,5.480804611,6.547240571,3.335064677,6.256478049,10,5.754043686,7.298524615,8.621543664,5.689105539,6.548406657
Ambivert,5.678593117,4.443964939,7.215184016,8.253380579,7.448590587,5.429098659,7.481249215,5.523690257,4.376062753,4.646609185,6.596904222,3.437565542,3.277229939,7.053566123,5.204336302,9.674532058,6.763957842,6.593955439,4.080082656,7.605670629,3.753682528,4.799343459,4.940611708,8.363763298,5.240837875,6.495924969,6.633033948,5.224765158,4.28247565
Introvert,2.1689767,7.598442884,2.611733344,8.079147242,4.15123342,1.000344589,8.314021201,9.688587289,6.838060784,7.45244818,2.791507189,4.530999864,2.362074757,3.990213692,8.482457263,3.551004397,7.780719404,9.342582217,8.2292248,2.00678233,2.624024849,6.837462029,4.702417799,4.147723214,3.380893762,6.439928325,1.146442534,5.850743757,8.077997459
Ambivert,7.282898771,6.140378947,6.646485291,7.592062126,7.360085335,7.664867166,4.355843247,2.400393715,6.983189009,6.94500533,2.633229625,5.935231564,5.251157415,6.041389652,6.235946147,8.227609571,5.95613759,5.286091758,8.837790541,5.076647067,5.791104873,7.884250555,2.872852335,8.243920261,5.385444297,5.205867979,6.890655564,6.629195489,4.92065742
Introvert,5.493618897,7.663047384,3.578610492,6.825943812,4.93192314,2.32516382,9.356289624,8.473426058,7.668963416,4.80784117,4.957725568,2.874737413,4.503028219,4.618831829,7.483486008,3.119325557,7.319804534,6.294463049,5.597089431,1.670488376,3.79487756,8.36108663,6.125689493,6.928162959,6.027023742,4.755388785,6.298142349,7.738902917,3.593732897
Introvert,4.894783685,6.247438316,3.300525695,8.852517172,3.036904852,3.912652329,9.132936075,8.675056586,4.288526031,5.613509663,2.826859194,2.829920708,6.65264409,5.803216381,7.748674241,1.958221032,4.861747852,4.629313349,8.091813766,2.483696452,3.623107926,9.57576336,2.418866412,4.201828437,2.217256516,5.991911012,6.079350857,3.599810387,6.339356185
Extrovert,10,5.25855054,7.425141905,2.692663026,5.923242862,5.544932842,3.996889875,6.813790944,5.369351364,5.087349629,6.622913655,5.721634385,7.847111665,6.231661695,4.81145196,9.344862868,9.331449652,8.549170641,6.593491322,9.684186586,9.457849928,3.687606087,3.936200551,7.147995284,10,5.88777251,5.72586735,6.044441487,5.818444232
Extrovert,7.461940639,0.701126987,8.743611582,4.652229946,4.619949216,8.229020262,5.044816861,7.059299742,4.525045662,5.304999908,8.622185441,4.263933785,10,5.615931332,3.232383075,6.585814908,10,6.473941518,6.121512874,7.099073755,6.384125463,1.354415394,5.555486144,8.262108056,7.424801984,5.633468408,6.337726923,7.654464742,6.955733992
Introvert,2.249746354,4.645182339,2.361147955,6.770329587,4.621946011,1.528917805,9.935771402,4.951989602,3.918767464,4.808919822,1.862620306,5.866897152,0.390684529,8.512879369,8.572920237,2.311395097,6.881018,5.736974617,7.950150969,5.606135965,4.376979419,10,2.82929357,4.204532354,3.976948806,6.056652341,3.775822665,4.526444764,4.191492136
Extrovert,7.76548224,4.311900504,8.234687841,2.891289424,10,7.199658716,5.304558674,6.936684802,6.597351983,5.130551797,5.911636512,4.521441668,10,7.109675815,2.485037129,5.381235822,8.819986062,5.238028397,4.500752972,8.012515745,7.279946226,3.238895522,7.089868017,9.131902422,8.813576335,6.957630781,7.112306836,5.055990428,7.836732759
Introvert,3.057859863,5.810853214,4.659362167,7.920539101,4.883057083,2.26851238,10,5.334642461,6.819638657,7.973783457,4.37190852,1.264911806,4.641387694,6.753263334,5.302219808,4.341630654,4.477221989,5.382422062,7.55204176,3.475664029,1.565844558,10,5.399880005,6.777756795,6.563780794,7.24774986,7.68452552,4.715464866,7.704159764
Introvert,5.14652967,9.879174312,4.975520729,10,6.072085993,3.693743922,10,6.193036001,6.60850734,7.435499365,5.595199668,1.237114016,2.208684331,6.231312441,8.879380254,1.9442829,4.19476334,5.42856317,8.82456581,4.68220768,4.308341127,10,5.764838859,6.879192328,1.664580443,4.010360242,7.271563851,3.817139603,4.558562368
Introvert,4.748830109,8.565332307,2.34594499,9.280805047,6.506517983,1.769597525,6.820561462,7.415770126,5.573546492,6.972170276,5.320144706,4.431749798,0.722159489,6.676469066,9.562624571,4.202308034,8.399967004,5.633658075,7.053280059,5.713798695,2.432167217,9.462235354,4.530694776,5.096038551,4.40252854,5.998157177,2.704736804,3.553414343,7.515688242
Ambivert,6.307704081,5.924505589,6.058277036,4.905384633,6.765793003,7.132760011,6.926300545,6.820784501,8.280515263,5.553688485,4.514882281,5.497720109,5.686994521,8.343601296,3.494057355,5.272661851,7.047269083,7.518705968,6.324624707,8.435627878,7.163295337,8.877982425,5.223424321,6.601390378,4.3815506,3.289935671,6.414637385,4.99941543,4.608963964
Extrovert,5.853219851,2.146457549,8.876409919,2.418567301,4.654772848,6.145130061,3.807758135,6.605726586,5.771951579,5.916563952,7.523320188,6.482215262,8.771946337,6.116070971,2.309983343,6.679920886,5.106906499,5.728876885,4.710527993,8.101721993,6.254971785,3.476796225,9.175438877,6.132717934,7.01544408,4.15329379,7.491378087,9.268808569,4.775795851
Extrovert,5.467967233,1.761899323,8.356147314,2.773695695,6.249515286,8.473562812,4.93362241,6.120596838,8.498757364,7.330484947,8.357144493,6.082901954,7.908815473,9.708552724,2.634480055,9.62549707,8.423973937,5.931744155,6.21912374,5.172922091,7.879447447,4.03974237,6.849447222,8.619799342,7.479213943,5.106735218,9.075045964,5.291709327,6.639834435
Extrovert,8.360694117,2.435618741,9.14534492,4.965735464,6.983407655,8.793766408,3.339474761,6.305253069,7.187124622,6.014349305,5.21001672,6.536029467,7.582656855,7.497257374,1.086277845,5.732519552,7.603033947,7.188094598,3.986629654,4.592305571,7.547720355,3.08969119,6.923391539,8.902606799,8.750925477,5.478149417,6.363970384,5.74077109,8.203678667
Ambivert,6.820394808,4.184173178,6.661979851,6.327307987,3.922020428,1.442203752,4.75793274,7.227165851,3.822011028,5.539785081,4.824682194,4.355922782,6.078487892,8.4459287,3.306033624,6.503642415,5.501657379,4.461171772,5.203851966,4.091593711,4.765048201,4.460781871,2.974699277,7.886338613,6.064533802,7.00746507,4.558634652,6.871700805,5.230279183
Introvert,2.880649427,9.811502007,5.756464551,8.978219102,1.523418272,2.722185076,7.717817523,7.710801186,5.237787522,7.026368984,5.223560072,5.683204905,2.145362312,5.95606618,6.298543369,2.503582121,6.188754074,8.285790102,6.23722093,4.820904159,5.130368353,5.628601239,2.529080984,5.063719333,4.988615066,3.116365927,6.081559661,2.747098246,4.719601725
Ambivert,8.372356757,4.385876858,8.734408374,5.229397984,5.943709183,4.619020473,7.345731376,6.451796886,5.185620093,3.675444724,5.720878188,5.728097175,8.244558599,9.100024636,6.506452767,5.048501529,7.152338088,4.895490216,8.874492371,6.327948825,6.020244568,5.150708348,4.662791372,6.618784485,8.391104612,6.03844833,7.231259882,4.970779585,6.795457645
Ambivert,3.876338434,6.259520891,5.252757257,6.503262514,4.251683423,5.61628163,6.994736086,6.39221336,5.250626492,7.98965125,4.309542304,6.348629291,4.566399566,8.037826762,3.69562085,4.152280915,2.338767114,3.754783348,6.201809779,3.211687005,7.30911865,4.908372621,4.066898263,9.697697171,6.471772427,9.370638802,7.180000758,3.935995366,8.531440879
Extrovert,6.187472076,4.507811592,10,4.406144849,6.807597516,9.782639412,4.182041218,4.381442232,6.805506301,4.298353855,7.389461291,8.91074193,8.188588148,6.266945894,4.673959341,4.795615318,8.578628143,6.419297541,5.271789183,5.759047509,7.330177323,4.310597192,6.484522914,6.095402148,8.393373616,6.780079954,8.326808302,8.556987689,7.635639596
Introvert,2.003578538,6.67822319,3.658642105,9.898065119,4.412489107,2.344197594,10,7.507696517,6.372151442,6.4806262,3.510681166,4.229614708,4.766094254,5.308146278,7.343658738,2.684499195,3.672872317,6.607375598,7.777136444,5.25003802,2.740497929,5.937765,2.165558072,4.600123749,3.810296738,4.185382928,5.115964497,4.431770817,5.246365543
Ambivert,4.44655418,6.064887128,5.233766742,8.369683686,4.694643322,4.59440028,7.473523054,9.577817236,5.156172627,7.821447051,7.925144441,5.508952281,9.423348619,4.216286032,6.548517382,6.462094481,8.166620463,5.25894662,5.306615888,7.316507464,1.5150728,4.790052555,7.539164237,7.574854359,6.495746107,6.293752535,6.268010677,5.336422235,4.897662246
Introvert,3.789428803,6.659180277,3.910634648,9.355615573,4.098552972,0,7.132880765,7.659210253,3.396928258,5.560222324,2.756189977,3.283827599,4.578469078,6.151340776,6.342188253,1.795093605,5.56173052,5.331209127,8.422872345,3.900728158,2.797470496,6.14294365,3.246985765,3.249301356,3.254527184,4.730284881,5.254104445,5.622819227,6.577845122
Extrovert,7.367432222,2.739711414,7.650495307,5.895858945,7.58709592,7.879138005,5.214658512,6.163324219,6.90992879,4.201942676,8.760166851,5.824607992,9.350743055,7.600182142,0.327549179,9.81125857,8.161161197,5.916548078,2.882374318,8.979915412,7.338190805,4.077008349,6.526029893,5.436844147,8.261437383,8.237273321,10,5.469835214,6.498891826
Ambivert,3.178239308,4.812047595,5.435981022,5.970249588,7.611519656,7.166796163,7.45228021,3.230629678,3.749854455,3.105633764,5.705115636,7.33855508,5.548867167,5.225445439,5.398209924,8.258255593,6.901967039,4.901475644,5.711476275,6.748684125,4.423884947,5.689905631,6.308075295,4.243191082,4.409216689,6.858716327,7.373290197,5.464887595,4.765070305
Introvert,4.337367685,6.956839243,1.355192311,6.951164016,3.030261695,0,10,6.243658972,4.360756075,6.275635651,5.032945298,4.788814616,4.165590113,5.691988802,5.590354281,1.70838958,6.728460497,4.103170449,8.946690804,4.384964146,2.961162179,10,5.753866463,4.178173754,4.023491634,4.864966823,5.190436807,2.575483938,5.764774886
Ambivert,2.860072111,5.736679558,5.620636935,5.954168219,3.967388927,6.747994375,8.548394031,7.683074461,7.461426992,5.745754465,4.657115817,4.060238221,3.464357322,6.003993538,1.403292926,7.286770318,8.305794051,4.338272732,5.413514122,7.447875134,3.802293943,6.192141787,4.546991735,8.222474795,5.773783295,8.553555955,6.398476146,6.118516781,6.447465884
Introvert,1.393172665,6.178824747,4.399016525,7.801648034,3.525484743,2.944679351,7.882832858,7.222528275,7.217691586,7.249619345,3.120112926,5.295496418,2.352786024,6.800419163,6.16567882,2.979859664,6.388395372,6.946692462,6.793295175,3.849196526,2.559676252,8.642692425,4.235611961,3.271206519,4.486834778,5.198813503,4.656267917,5.873765699,5.520582522
Ambivert,3.065940144,6.893838868,6.580839373,5.700652432,9.225508809,4.915681003,7.110810974,7.251064801,9.584632394,9.091779202,3.926918255,6.092847161,4.624437484,7.408609574,3.660205258,5.986163513,4.913009275,6.918219885,5.873069104,4.480533765,5.694592039,8.0031352,4.366565254,9.137696634,6.832931581,5.83042927,4.530040468,5.939395138,6.573821963
Extrovert,8.310681916,1.377693447,8.545541217,3.984530335,10,8.90190547,8.040707593,6.648917566,5.483272682,4.667970198,9.861883597,8.050431457,4.760521475,8.670171249,2.735082286,7.797099001,6.944165121,5.256202634,3.289534829,6.323540205,8.535468271,5.533266215,8.307335255,5.31814758,6.444226025,8.455117348,7.015017733,6.205239739,3.806672883
Introvert,3.279071568,6.099367167,5.605120753,7.743979422,6.470222197,3.712532429,9.629986576,7.480955204,6.913995965,7.705717807,6.17556504,4.316505928,1.782862349,7.827658828,5.586607776,5.410634145,5.046404004,4.342725311,8.689408102,5.564082345,1.880095793,9.289758439,4.865222158,5.874578618,3.452178659,3.574679231,7.597984528,0.435383355,7.764174756
Introvert,5.874681482,7.621555197,6.201165764,7.313005109,4.629566673,1.34304192,8.57480143,6.711626755,5.494349692,5.810110979,4.644674115,4.23117439,4.019226059,7.458587726,10,1.950977794,8.81383596,5.140788915,6.109943598,2.102017179,3.082500716,8.953965555,5.246834962,9.024259613,2.068959629,6.311047481,4.945122669,4.450231836,8.851215548
Ambivert,6.870739984,4.941246469,6.247405485,5.803858239,6.284788314,5.135127195,5.222779748,7.412791359,5.94897152,7.518405509,7.960373477,3.139415955,4.845454428,5.611588423,5.74655196,7.507060135,7.336263863,8.056672394,3.617528202,5.018095572,2.571656918,3.728146376,6.56551283,4.445015964,4.181807027,5.928357451,6.488546432,5.247782492,6.47200321
Introvert,5.162469275,8.533335809,5.396573343,9.202612073,2.491235689,2.011023036,8.146452262,5.400559162,8.419562605,6.006145522,2.60023679,7.072263276,0.534536667,8.886902749,5.704874266,3.427650468,7.229520065,3.913490774,5.149385723,0.366751032,3.241785453,7.108193654,2.363014583,8.049550483,2.711678265,3.80723071,7.065636004,2.592178588,6.88820519
Introvert,3.432914477,8.127248638,3.523768625,6.702367409,4.688397014,4.315956929,9.527340823,5.190403014,5.647147447,10,2.653236137,5.363073572,1.277066002,7.444131988,7.71121742,1.901928264,5.531551334,5.320824481,8.010799444,3.05753645,1.364485972,6.241441974,5.20967659,4.587226633,3.204240161,3.177786729,7.211621165,7.490661407,6.252788869
Extrovert,6.534602268,0.558959275,8.131986702,6.017871569,5.963591274,8.008345404,6.8713273,5.725014157,8.113387453,6.802452774,5.326281485,3.599650339,7.900205343,6.855818762,4.523265301,7.13554609,5.702529804,4.454977237,6.168892803,8.037043933,7.000457464,3.652225999,6.326392329,6.647379342,5.144916669,10,8.173065605,6.081683766,4.892736354
Extrovert,8.192161403,4.479850237,9.441271931,5.623652525,7.712459163,8.219575852,5.968401612,7.98533128,4.072683792,4.664981521,8.227961529,7.625793552,8.26373045,7.325813371,3.336202118,6.88685497,8.016429655,6.068442401,5.615687178,6.40145836,7.827011076,4.993562466,5.530214508,9.822548526,6.444303954,6.923975383,8.123469769,2.676692121,7.979155232
Extrovert,8.888631511,2.583990815,7.894249307,4.12993162,8.609082931,9.408560859,5.756199611,6.01499418,6.191059887,5.604968682,8.866890689,7.755367983,7.419759354,4.794990196,2.245213708,10,8.515169495,6.088937171,6.900906619,5.916488537,3.377924668,3.693064687,2.217769283,9.983893564,8.291068752,7.68493858,6.082371103,6.869071557,4.501234689
Introvert,4.055711073,8.362188948,0,4.425988783,3.094705182,2.761316426,9.274777217,5.866610974,7.498717002,5.851059014,2.552895021,4.54197473,2.914622762,9.33774735,8.706833991,3.366318781,5.96406979,7.07733007,6.998505759,4.497289191,2.468579238,8.785391098,4.147435843,4.633631698,3.87327967,6.371765222,6.174882241,5.545406013,7.521247318
Introvert,2.291381784,10,2.611888398,4.733572264,4.648971319,2.327753935,7.821832385,6.931153992,5.73800434,4.234499229,4.012221247,2.168749698,2.907064682,4.630244002,7.65887848,3.331114085,3.537504569,4.534016583,7.199466487,4.050275749,4.368986199,6.085461675,3.237842229,5.490630346,3.287905711,5.43977893,6.730983226,4.071211029,2.660519842
Introvert,3.733179711,9.92966342,0.741553306,8.167315205,3.203458964,0.012422362,6.110801095,4.201604019,6.330997382,5.490782866,4.604773602,2.885600919,4.513351627,3.093322671,9.167612353,0.924366245,5.79169327,4.421779784,4.106463942,3.429560209,3.043644011,6.836410446,3.378324327,4.773977521,1.500450291,6.005795975,4.768528637,4.81241168,7.675134329
Introvert,1.600458044,8.315793895,2.418154996,9.017595571,0.095155507,1.36455668,6.237300008,6.672254236,6.402140588,7.857099892,3.526700647,4.308395309,3.077479343,6.642457498,7.430347173,4.291375846,2.904851741,2.930577628,4.805902056,3.468629328,1.909075076,5.770410273,1.865781685,4.537910505,4.642016053,5.941464184,3.256767224,4.330326034,5.432517048
Extrovert,6.435083609,0.940395249,7.182210878,6.658954597,9.150412669,8.541740359,4.17885893,4.829426471,7.165506595,3.512248089,8.723588128,4.912649501,9.538995964,6.971066646,4.356607597,9.891616746,9.864936587,7.270294991,5.451642687,4.2215248,8.640623799,3.460966745,5.112073374,7.354163567,6.872272411,6.13084354,5.015367897,6.443195897,4.814134869
Ambivert,3.826322933,3.465497545,4.691178212,5.392045252,6.948399143,5.190842201,6.221339261,3.25864523,6.177395355,7.980189492,6.176672239,5.359620574,5.794805161,2.524653431,6.549044431,4.091511825,7.072101097,5.573215928,7.207636348,2.085767353,5.047757961,4.895257711,3.835534637,5.599564073,7.90548147,4.757102909,4.489998072,3.447298134,5.371120642
Introvert,3.036938983,9.743066506,1.422620393,7.228616298,3.100468165,1.79191347,10,4.614706448,8.261311146,6.886836804,7.077741775,2.302339762,3.917048554,6.495548592,7.210653384,6.056472153,8.456617406,5.142413327,6.982055035,3.278361146,3.407115308,7.465668393,3.050475054,3.532951863,2.698623022,4.425245534,7.78324257,3.469349182,7.677764443
Extrovert,6.233245467,2.397276379,6.201713025,2.173865672,7.868544344,9.03767934,5.928973293,6.401392582,6.579340909,4.647153129,6.482821499,7.966384593,9.398400145,6.383065989,5.738162941,8.352928365,10,3.809925405,4.248627,7.569889829,6.13803856,4.021153453,9.159435094,7.535596322,8.494571394,9.482690966,6.687165295,10,5.805489807
Extrovert,7.362883415,2.747377713,7.029513668,4.898200147,10,10,7.20499785,5.559039684,7.048380023,5.182838443,5.989283195,8.504875823,9.470572307,6.900667752,2.527633804,6.976234738,7.596908388,9.881745296,4.83246617,7.91252139,5.50747114,3.882244747,9.406396883,7.822341936,6.455489994,5.740327461,7.441812667,7.09400256,6.88912239
Ambivert,6.854374827,3.781797298,4.943506043,6.01049355,7.068938854,5.112335783,6.296849711,9.665902964,5.433309406,4.921292675,8.078334694,4.082870884,5.674087652,6.627927126,5.253568885,6.554721869,7.307463875,7.522247114,3.78017092,7.120630768,6.093391852,4.626526294,7.201222385,9.561981235,5.706288647,5.863515513,5.707417917,4.017553886,7.984533788
Ambivert,3.956305483,6.168776842,5.052842834,5.284484149,5.073825135,5.984309635,5.209954105,7.573212663,5.616782848,5.725540759,3.609417043,4.763574556,2.140295779,7.35953338,6.56803977,6.930094468,7.37955974,5.748680276,7.409563108,4.881257663,4.822541414,7.348535409,3.477379384,5.260983982,2.813691751,7.419728127,5.979057389,4.358780242,6.145640659
Ambivert,4.74353195,7.212119231,5.888374585,6.034830424,6.527120492,4.699890947,8.590776225,6.144604906,8.99926596,7.019981262,5.942077822,5.488246582,2.701017641,6.789788817,5.786487361,4.544117329,9.975382957,7.176443576,4.712122928,5.145793401,4.200662388,5.032903257,8.240508776,5.303723791,6.264982347,6.789201759,5.647969815,4.921742156,8.124916304
Introvert,3.107446915,10,4.059555588,7.858532484,4.874576428,0.314769656,5.544565144,5.189909421,2.719112975,6.575380293,4.923632149,2.038269096,0.056702359,5.985208279,7.375056972,6.641914349,7.262732122,7.02607616,7.665127979,5.589962958,4.871001292,7.704569493,5.065374076,3.057752362,5.375138366,7.314822706,4.111095744,3.473039416,6.210399366
Introvert,3.370330352,7.327775271,1.485304046,9.451563225,3.520111358,1.543348768,7.126657382,6.53158614,5.890426029,9.530744323,1.639110574,3.422196714,2.737872864,5.568391632,7.283385519,5.055636948,4.835780916,6.131692206,7.5659863,4.587394543,3.01854058,7.826630425,5.517245726,5.392542886,5.471633744,4.546196389,5.716262965,3.347812384,7.279763493
Introvert,2.251064114,8.967317699,1.688011181,7.35982164,3.749365387,2.29147447,6.159298556,9.742027491,4.245662589,5.524512687,6.981517654,2.648803295,1.989887543,9.045311985,7.27800166,3.690320926,4.50831208,6.929595005,8.156159494,3.034842881,3.055460842,10,4.808565836,2.703116097,4.468483368,2.241374687,6.953438571,7.884599506,6.742087217
Introvert,4.180290103,7.857369772,5.49709271,7.995336751,1.386498976,1.910347318,6.129077358,7.086131968,7.222367818,5.382800564,5.824348835,3.495979876,0.801606914,4.545473668,8.384118618,1.768814205,5.82178063,6.188803061,4.797177374,5.105582148,3.235160511,5.968632842,3.2905194,2.629787992,1.426139743,3.671787488,3.540842459,4.122650888,4.826684452
Extrovert,8.885678451,4.320417852,9.136012237,5.274103922,7.762962267,8.141355965,7.918343254,5.112347568,7.078439992,5.265259425,5.548322865,5.936664224,7.232216375,8.021574204,3.901898608,6.247345668,10,8.511715628,4.682913734,6.762234624,6.528519394,2.372973828,6.25043141,8.404140608,8.029775131,8.167845922,5.340600655,10,6.514856799
Ambivert,7.209784907,5.494049199,4.336582177,5.60334416,4.072599956,2.411656893,6.223608051,6.494803822,5.279497137,4.921451814,6.080997043,5.375261953,3.53831531,6.137069931,6.163819676,5.561543658,8.80878541,3.985026737,7.851441686,5.785167219,3.03457468,6.943335666,6.484082035,7.233028124,6.982530139,7.859989023,5.789054486,6.028915735,6.910030659
Ambivert,5.377597113,4.263810856,3.619866572,4.887982058,4.2106801,4.303213672,7.645438804,5.339502465,5.971580087,6.909829339,8.22069073,2.752013867,6.390472441,5.311460703,5.161096417,7.416094648,6.812933269,5.129137165,5.660097234,5.742830368,4.436614508,7.775240652,5.838186145,7.330836281,6.393407895,6.280304883,5.357956725,7.074214027,5.974516789
Ambivert,4.730771786,7.480236389,4.752268734,4.078408894,5.351070098,2.584385157,7.800413181,7.344460396,6.605925069,6.450502687,8.448134367,2.516593181,3.696383819,5.551393197,9.06444537,5.738549059,7.448078184,8.053808579,3.475035929,2.505923135,5.620791099,4.01162469,7.276719908,4.202347262,5.684203996,4.751322244,6.627605076,5.803343099,4.642863506
Extrovert,6.976051967,3.147808731,7.620254967,2.438501486,8.706857289,8.455752227,6.423956476,5.620840994,8.41925809,4.459517957,8.503907135,3.556790812,8.184249273,3.316202534,3.737516485,8.708709312,6.253841561,8.816189358,7.611407917,8.528874327,6.890812154,5.532394602,8.686500118,5.573788754,5.770556655,8.574877543,8.801225658,8.666898618,5.08282426
