personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,spontaneity,adventurousness,travel_desire,work_style_collaborative
Introvert,3.850958438,5.710840667,0,7.296266658,6.06380872,0,7.857886322,8.870515865,5.017391072,5.517777256,2.475135843,1.891295333,2.938486852,8.668896922,5.279240604,7.402248716,5.653032964,1.842139239,1.60796878,1.05828629,2.83337716
Ambivert,8.032467717,5.55212813,4.314176747,2.37163293,6.228435512,3.81077098,6.157933094,7.560203197,7.299793707,7.008797753,2.452653973,6.431895483,7.543241775,4.349642158,7.788969614,8.329545907,5.805393962,5.828363076,5.324043806,8.568745831,7.589951734
Introvert,2.091055524,6.788617348,3.953255317,9.114205734,1.098196361,2.038045349,8.497471022,6.642315998,6.386153149,8.045406159,1.5591804,4.720424307,6.182657493,9.311291434,3.05401262,5.333244656,5.440179995,6.160233009,3.923088184,2.672388571,3.884384123
Ambivert,5.310787675,5.118534827,5.514095606,6.640285922,4.476196203,3.747148731,7.305654758,7.90354535,5.217909321,5.320254666,4.524376256,3.391328286,5.63903561,4.384930521,6.419368171,6.952692761,5.773354366,4.607094468,6.244798656,4.979685471,7.853269665
Introvert,3.490006382,7.034226843,5.038308192,8.163407808,3.204775918,4.163305613,7.493382246,7.68614161,5.886166798,5.456495655,5.406413123,2.417853591,3.955022029,6.638252361,4.457732997,1.634572444,4.030589363,4.810223512,1.897544614,4.181636263,7.559474614
Ambivert,4.096846892,4.302447051,5.715885482,5.652152659,2.29316804,4.79037633,9.065178519,5.411176655,3.69722404,4.228600658,3.919788908,6.926137884,6.918242688,6.907268242,4.277664157,9.241030027,7.794697434,6.988344049,6.529415347,6.686984687,6.582097738
Extrovert,7.718601768,5.557191236,9.325421648,6.026004012,6.401746785,8.404197939,7.661616342,6.961317103,5.965383852,8.589928623,5.324796826,7.766549112,6.494727113,4.681876516,8.625732439,7.956205425,4.706515367,7.002560126,5.517176764,4.581834101,5.593113848
Introvert,3.739424716,9.170815225,0.360496546,5.680385534,5.468045348,0.746051446,10,5.743128959,5.697119903,5.730135634,3.7208099,3.749616475,6.817153839,6.419523093,0.686335243,7.475883925,6.159521262,6.752421752,2.316194578,1.278237696,6.494966152
Introvert,2.511868093,5.780205527,2.342057529,10,1.713270369,3.080740261,8.205850832,6.86252277,5.518955522,4.045520201,5.116997465,4.847429201,3.930409213,7.275065976,4.272303924,5.252767005,8.633685578,5.193247922,5.101484488,3.05735302,4.052900313
Introvert,4.963484115,6.686279893,2.596571734,10,4.757982306,0.622231219,7.790965562,7.321579588,5.899479725,2.672526046,5.263089328,3.887888217,8.278109705,8.030110154,4.857052976,5.788687706,6.183285434,4.376748718,1.833934721,2.950674313,5.392565312
Ambivert,3.233613157,6.786173544,4.261831356,6.225265412,4.062984182,5.672569545,8.193488994,8.322560108,7.443624005,4.036501168,4.653060463,4.606313326,5.71596887,7.95534982,4.585929022,8.262633767,4.106794701,4.501959768,5.116376265,2.052232221,7.79739886
Ambivert,7.18415686,6.953030266,7.788621155,6.426333762,5.967403923,7.400921025,7.002128958,7.219790014,5.892488181,5.458994899,3.057153476,6.075392174,7.960821993,8.183812058,6.418921124,5.382196452,2.603444894,7.236429644,5.02946002,7.273711978,5.656214901
Extrovert,8.991778212,0.922375957,5.10510308,2.221379625,7.993469756,9.239119007,6.135489267,5.071255313,7.360939378,9.807378615,5.870078066,10,5.386820505,5.681207801,7.389309656,8.148215677,7.656024884,6.951671019,5.797411552,9.06863592,9.296467007
Extrovert,7.146757119,4.047907273,7.829179777,5.506730444,8.385663043,8.28873238,7.155966456,3.433406039,7.339400663,5.416948626,6.297016539,6.946541443,6.243907017,4.382277192,6.680490078,6.513071566,6.155032288,4.239917178,8.14466147,8.457641071,7.227733938
Ambivert,4.113387148,5.897543674,7.198766012,7.906885334,3.833700227,3.824315678,5.776179539,6.180374641,4.177321508,5.645603313,3.608865639,3.292662657,6.539717008,5.434679339,5.06785484,7.951950605,6.623758416,3.133318957,5.177385227,5.737457431,4.714387593
Ambivert,2.379576074,2.587495052,6.645036632,7.14648534,7.511089404,3.929077009,6.170141376,10,7.371937934,6.124746745,5.579217861,7.130452253,8.716029405,2.796053279,6.80692083,4.915884776,6.328741398,6.699968372,4.017464717,6.044913189,6.831719132
Extrovert,6.807237481,2.395203422,7.430285021,2.140728039,7.322121379,8.664122337,8.980223755,8.239241323,6.464891795,5.729385478,10,8.142754713,8.503167108,6.241731088,8.126597077,7.808829175,6.625458151,6.806887928,7.863217828,8.168456992,7.547539358
Extrovert,9.570764983,2.795755025,6.649970424,1.585882082,6.626638097,8.214470985,7.630693291,4.738580974,5.437061017,9.53220273,4.639405077,5.895290236,5.016872907,4.409884907,9.104323727,6.691695008,7.224773544,3.734058971,9.831979187,7.047431435,7.698973036
Extrovert,7.915871411,3.072737708,9.636501603,3.639534229,8.691814561,9.362366249,1.825977086,8.69111222,5.781836153,8.659992589,7.336930649,8.746079818,6.781596583,5.05491439,8.444660531,8.682610641,6.282961695,7.114396329,7.739791019,9.305507487,9.782527775
Ambivert,7.244471321,3.519125819,4.718346018,6.1187988,5.96588501,4.935025126,5.870656422,8.475778965,7.4812034,7.259450139,3.835800465,7.587529731,6.770825558,5.329772414,5.850441147,7.961880461,5.477494171,4.815402127,4.928339822,6.749838532,5.677276519
Introvert,2.070193394,6.855476744,1.754223149,9.522801323,2.923059981,2.801865238,10,6.007039192,6.996927933,6.199050838,0.478429777,3.597902595,10,5.358818504,3.995583948,6.978806071,4.180439719,6.289554097,2.510043591,4.718069624,6.110660959
Extrovert,9.06065924,2.065584392,9.50012158,3.63922984,7.384600218,8.150670524,5.100864619,10,3.8934319,8.887542827,9.088216904,7.603235604,6.977421825,4.520358649,9.065530751,7.755322039,3.989208298,5.586755673,6.149236176,6.520244204,10
Extrovert,6.923752097,2.196486425,8.461067692,5.593925231,3.723233291,8.971312583,5.678884422,5.519306188,5.071610227,9.999790868,6.614621186,6.762663244,10,4.094252681,7.752448203,8.430867053,7.589942794,6.407320569,6.362015547,6.040655055,7.311657314
Ambivert,4.051637491,4.721503829,4.971968662,7.693766088,5.699865726,4.541453735,5.902417208,8.187284553,4.559850428,4.587375559,4.445279067,6.167722689,7.830671478,5.936004786,2.619601458,6.318470988,5.619211984,5.65511852,3.451509855,3.312177552,7.449164666
Introvert,2.839309174,7.801050634,3.487825656,8.710349477,3.368223588,0,8.723891823,4.384726982,4.578270409,4.318193185,6.282928736,3.329593991,9.07462444,7.174190547,0.784020295,9.431364272,3.455546511,4.825181805,3.866093087,5.075629969,2.145529127
Extrovert,7.002550233,3.464454923,8.667698646,5.303557232,7.315676419,9.493172923,4.001255782,4.177315924,4.817888546,8.286176981,6.028557052,7.571469993,5.556357408,0.220443719,7.466996459,8.350127496,5.695656622,6.940087047,8.446604072,7.400373263,7.943280351
Extrovert,5.685766776,5.661338587,7.919379519,3.375899496,6.862105886,7.794022836,5.177177053,7.163451396,6.110494666,5.003794454,8.40571795,9.605704585,7.423838269,2.741419846,7.352306201,7.747770745,6.255604031,7.454642162,7.71884844,6.415074792,8.495125741
Extrovert,7.726527949,4.30633313,8.230589063,2.287550183,8.921733769,10,6.601007773,6.031617003,7.952920529,10,6.602018043,7.503592799,7.090795074,5.634369569,9.676668685,8.161402797,6.122657213,6.730474251,7.099837018,7.994229932,8.597501648
Introvert,3.159653125,9.975295084,0,7.146595626,4.636296592,2.156952452,10,8.234200951,7.107381652,4.65217574,2.939403488,3.880492132,5.242215762,6.326743039,0.372242072,6.442793645,7.994608324,5.175726503,1.752640415,2.767754433,5.268682574
Extrovert,9.902537917,2.278866472,7.841599227,2.750901163,8.422317442,8.046687946,5.464632229,8.175394139,6.388844812,7.226482111,6.657302712,8.052328165,4.620657075,2.116713032,8.814563727,9.884309255,8.412681247,3.153429169,6.790798776,7.956288767,9.471856781
Extrovert,9.405208516,1.494115275,7.040597619,5.815958308,6.427647599,9.998614923,5.581722474,4.571101982,5.713161923,9.100133164,8.587337259,6.347732765,7.444250994,4.79909332,9.806823867,8.079788496,8.397263251,8.183160632,7.219627567,7.834352027,8.443797233
Extrovert,9.829914799,4.202137913,6.800993236,5.293913077,7.01832691,7.025745697,10,6.106913542,6.121797243,9.084364722,8.74444262,8.228841856,8.37028088,5.244851819,8.476714279,7.260261969,6.07760551,8.17171462,7.521861255,10,9.293368826
Extrovert,9.080536248,2.97568359,6.972982556,0.954331721,3.788664202,7.347489116,3.001294054,7.049855257,6.077937727,9.315516406,9.076608609,9.345840158,5.457789657,5.598187319,10,7.712876035,8.190061493,6.299697864,7.806761578,7.259605234,8.001696833
Ambivert,5.998919138,6.5954767,4.755040779,6.2682496,6.634387123,5.658193117,6.743830364,8.313784982,6.942799568,5.955312554,7.259027603,5.321836633,3.552627803,5.590935822,3.279571077,5.860751451,2.539256717,6.110750082,4.576236031,2.689547461,8.240580912
Ambivert,3.65658264,4.176549663,5.054285353,3.32134694,7.993863088,3.728755081,5.336051601,4.628230534,7.113095767,5.826271224,8.314880304,5.740667211,7.610175616,7.07094452,4.971158428,8.176629627,8.50735251,3.760767086,4.657915604,5.940228105,4.743575543
Introvert,3.224808297,8.972865648,3.249103001,6.374115153,0.88155122,4.689813899,6.601933424,4.736372352,7.449474356,7.224837742,2.27159203,4.364384685,6.364639349,6.640309129,2.838436003,3.9553753,5.594302209,6.627143902,0.935613321,7.042639124,5.921362664
Ambivert,6.395190666,5.23712577,4.399705145,7.248036194,7.486886829,4.527519066,7.833319385,6.779319371,5.968969819,6.907245022,5.058862715,4.384193006,6.491450834,7.790330166,5.496963459,6.654684424,5.563098254,5.181352438,2.711869663,3.789655029,4.067818672
Extrovert,10,2.308648523,8.777129334,1.4135515,9.753739593,7.715507984,5.546733277,8.279226733,4.309281505,7.458288173,7.58212287,4.350971458,8.767827286,3.988544261,6.606448691,6.623911559,4.906173351,7.920054121,4.81025746,8.549285137,6.394630445
Introvert,4.029432813,7.449866352,4.103797304,5.953698245,2.646187411,4.040777929,9.229366776,7.273251153,5.522166969,4.041089951,4.626389583,3.542956321,5.941897763,4.835647976,2.594760837,8.269981457,5.619792714,4.481507539,5.651379484,3.632440483,6.299651504
Introvert,4.860575152,8.735650126,4.088410705,6.463863309,7.946764403,2.096243478,8.861591114,5.550976262,6.123831267,4.275485994,0.745874575,2.151381225,7.999623427,6.49664782,3.643965219,4.762874846,8.295770958,6.107132596,2.591291587,3.592423165,8.202607204
Extrovert,6.452003163,4.161211975,9.402701246,1.622562611,6.59277187,6.759855659,3.869621732,5.024144465,2.945473326,5.300029945,6.760873121,9.477530244,6.663139783,3.756891385,9.49408326,10,5.462781035,3.440336644,7.939170358,9.034073322,8.660359893
Ambivert,5.010373561,4.950378763,4.647465048,3.869626202,5.286728836,6.461188692,4.70080336,6.018361188,2.990036691,3.858238474,3.795698747,5.7427642,8.215611588,4.505472793,7.156890693,7.070734364,5.567834155,5.51433484,7.050343133,5.871218532,6.71133133
Ambivert,6.14402607,6.016464743,5.093952124,5.915819892,5.625380806,6.29787805,8.15819937,3.778918464,4.557686724,6.142687556,5.934029465,5.311407425,7.230379101,5.983964332,5.434053809,5.760844983,5.206367457,3.698727462,3.410677352,3.99823012,7.568980072
Ambivert,7.241429036,6.011224591,5.869899873,3.472849011,6.788280075,3.324951549,4.480751307,6.476055763,5.718635259,9.741727248,3.97674104,6.300450774,6.26736392,5.555910079,7.465229976,5.845427976,6.86312312,4.571341356,5.597530161,6.713211,3.35780423
Extrovert,7.782157031,4.10750529,7.362577673,3.626477131,6.738115075,6.95851247,4.698480838,4.834305004,4.512468488,7.928731694,8.328688097,5.893052484,7.3247028,5.524431006,9.454114786,5.590546069,6.878436417,6.796308135,6.468582391,7.317608462,7.727306818
Extrovert,7.876331061,4.48037279,6.262257546,4.013634129,7.265280912,6.514703454,6.357964448,5.965187147,4.728910386,7.318771302,5.998976739,10,5.775580984,3.411748243,10,9.64146281,7.501712297,7.685605051,5.704531335,2.750909049,7.433084528
Introvert,4.030710459,10,2.246460285,9.127853207,1.981637222,0,9.344299545,9.6178161,3.415799532,2.859459381,3.209763551,4.196411646,8.15221615,4.726961911,3.350706154,5.464044788,4.068705392,2.121058101,4.585754317,2.68605832,5.926432259
Introvert,1.311193759,7.30224442,5.452036375,9.393993453,4.168703074,5.170310414,7.862216699,8.788164865,5.523491032,7.076008315,1.36254486,4.287665467,8.120125523,7.97456162,0.363071928,6.620203358,5.295616336,5.49802645,0,5.378747863,5.908917595
Extrovert,10,5.190014849,6.885256728,1.935676331,10,5.886691911,7.757179789,6.973801788,6.259420677,9.378274687,5.583840366,8.296651299,5.758445914,4.573532914,7.910135235,7.172273976,4.418214315,6.825727251,7.117923871,6.625611892,10
Introvert,1.68129586,8.175611563,1.809381893,6.014311748,3.686913183,0.758215065,7.024842559,6.315025522,6.111666195,3.154270198,2.844158899,2.670229854,9.412007413,7.149479209,0.021896306,6.465601423,4.880311123,6.008014913,0.417833971,1.855975374,4.967564147
Introvert,0.122115865,6.357798192,2.17961872,5.930644428,5.026141763,2.742599194,8.827372172,8.268068464,5.773452785,1.95286155,5.595686674,3.746315097,4.308414379,3.732603485,3.295033834,4.885691783,7.248851366,4.667428252,4.337232739,2.960495559,2.659246531
Extrovert,8.015100513,2.024273271,8.835378031,5.186289516,7.462766727,8.50989227,5.35173255,3.965662878,3.030166936,9.595474848,8.792537724,7.75379715,8.806022085,5.781143349,5.898763458,10,4.09738987,8.531533735,6.042377265,4.76978003,9.86636985
Ambivert,8.047688054,6.19894018,6.022020116,6.51837456,8.26292259,5.987465172,8.157801403,5.135457618,7.044930085,7.790518703,6.698305577,5.174321648,5.882780778,6.15584745,4.581729853,7.659180469,6.948820004,3.159570625,7.414573996,7.893926409,4.822086915
Ambivert,6.379679696,6.585641068,6.559357502,5.470210367,6.106890946,5.431636283,6.525003311,6.000635064,6.679517126,6.154469617,5.034821336,7.220777083,6.825240562,6.053704149,7.323172747,7.282569567,5.513174326,3.092423868,2.211201535,5.473107335,4.109373086
Ambivert,6.626635815,3.975598215,9.298797655,4.211924924,4.409037655,7.292250378,6.603071359,8.049003725,5.782257396,5.05006462,4.657096798,4.935196735,8.6278384,5.663267502,1.389582493,7.038410016,6.673652278,6.182809509,2.808786182,2.388434815,5.455252566
Extrovert,8.062078643,1.854173615,9.23157864,4.232927604,8.143003418,7.131577226,7.320081573,4.850865085,5.030030838,9.21717765,8.646315512,8.187906111,7.044342896,2.560494783,7.393233909,8.128887113,6.710823595,7.289030528,4.765783508,6.556960158,8.511230568
Extrovert,7.771433754,2.200325015,9.349253565,6.053242364,7.677785987,10,6.529006944,6.237779506,4.923082894,8.630982659,8.256564246,7.134954651,7.305163232,6.032904851,9.211304292,8.579494953,7.205920427,6.09028519,6.687226531,7.51011941,7.238577068
Extrovert,5.682635946,1.704947967,10,5.955562634,7.644102794,7.392036625,4.39492818,4.127675021,4.390619976,5.556935809,7.224275067,8.60125865,6.165950144,5.436465905,6.431925808,5.919859725,8.664893353,7.587014631,6.611909114,8.488640415,8.695307893
Ambivert,2.110920613,2.679872515,6.234340761,3.790145864,6.591679841,3.101195441,10,7.641939864,5.454133465,6.09656142,5.088222337,6.224994628,6.144488855,1.619177119,6.093629351,6.962021015,6.996080398,5.388229314,5.128498077,2.912644481,3.116425097
Introvert,3.294408508,4.671029431,2.41216655,9.606578651,1.665414131,1.424934973,4.905495436,7.83400305,3.702137591,5.360049963,5.772648122,2.141149963,7.113165488,6.348463161,1.412579607,3.996956661,5.834354176,3.155973953,3.8914723,3.778134164,5.712673815
Extrovert,9.968823792,2.427289327,7.545699467,1.770495064,7.718230381,8.766829752,3.642899548,7.972849322,8.385705554,7.824911748,5.900669722,7.308509529,9.714463474,3.844965956,10,10,7.842356359,8.419337187,7.05197816,9.398836197,9.434380908
Ambivert,6.016200557,5.878118934,7.085196193,5.396563744,7.615337832,6.898848299,8.89410171,6.374348086,6.278093919,5.209524986,5.936368132,4.774114258,8.368652934,4.437667333,4.922829408,5.990023618,5.668295975,5.392572576,5.045061451,7.301254863,6.592211676
Extrovert,8.935399291,3.98337841,6.122324803,3.219932848,9.958155138,9.025281733,7.641596405,7.399804907,7.124684256,5.326161787,8.100277644,8.493600396,8.142641116,1.303971652,8.186646954,9.494461755,8.663416582,8.605192959,9.782551396,6.771054234,9.527048814
Extrovert,10,0.956498889,5.080111149,4.399453542,6.905667661,6.216331732,6.646326394,3.593169238,6.01395613,6.958209798,7.616550333,8.242802019,8.012303598,4.952016692,7.147375348,7.712529516,6.969415609,6.518697267,7.476528037,8.434756834,6.837502703
Extrovert,8.493150277,0.981991324,6.768402212,2.496296705,5.534385743,6.699691872,5.504507949,4.478537472,5.707693276,7.480277583,5.760820124,5.760040446,6.705160457,6.248706153,8.99218507,8.277436281,6.289558109,9.297152826,5.216775882,8.781133125,8.426405483
Introvert,2.81601735,7.208107095,4.229787132,8.154336476,6.255613262,1.150136829,7.52855015,6.200064083,6.291785205,3.366678174,3.908645223,1.519938709,4.267341576,5.182058345,2.883978824,6.108345341,8.987617357,3.224336736,6.025311974,4.678826751,4.664820706
Extrovert,6.772212792,3.005013679,8.889089374,2.378632646,6.634551996,8.393995628,6.210925667,4.470782474,8.961396862,10,6.995114344,6.903475583,7.494111453,4.010750353,6.794891056,8.859329441,5.284403011,5.916035401,8.674829095,10,7.876725699
Extrovert,10,4.513172401,7.760011117,4.257979881,7.364389968,9.536713358,5.720985668,5.988101081,5.6790877,7.200246458,7.203479142,7.423575517,5.544672908,1.275322857,8.897906567,9.67039442,5.567150231,6.144119101,5.799534543,5.315065105,7.542993808
Introvert,3.789821669,9.076583104,4.603782881,6.024064594,2.766268146,2.231798569,6.926111904,8.952545593,2.851753273,1.095569511,4.829839622,2.454426042,6.699890775,4.392365662,3.421989229,6.282392741,6.2398313,0.778143304,3.072499841,3.659036489,3.445984375
Introvert,1.584597426,7.448257743,3.912443565,7.403394306,3.880378025,0,8.39680348,6.745293486,7.335260924,4.308671525,3.427052862,4.219593018,8.097387925,7.510226403,0,5.945099313,6.546577622,3.078829808,5.547844508,6.430303739,4.547467762
Ambivert,3.743248498,6.040232957,6.015962539,6.005528849,5.109195989,7.033918922,8.164216452,5.85892102,4.201184346,4.329202764,4.597964971,5.963700796,6.857114292,6.101976336,7.236914429,8.967765133,3.951782914,4.044824114,6.62669252,4.321409038,5.307336393
Introvert,4.87959559,6.734691141,2.974094276,7.624713872,5.260770122,1.052996328,7.715259565,9.098845523,6.994480073,4.006202563,4.729698361,0,5.396126001,5.657862579,0.994183137,2.787848867,4.712788122,4.013577497,3.041884824,4.697298752,8.590474816
Extrovert,6.443837455,3.111518633,9.34452781,5.267329255,9.052760822,9.904145197,7.278712389,3.995493027,3.494192635,7.191537731,7.824782614,6.351323059,9.432872731,4.187973614,10,8.023142068,6.218232008,6.169119599,6.047235195,6.261787124,10
Introvert,5.780751236,7.90636506,4.13296402,4.611662879,2.039922736,1.499137903,7.686221577,6.670131931,3.496668934,2.647460071,0.312371606,1.560320974,7.627079818,5.958506896,3.444696754,6.108710582,5.686837773,6.301744822,3.063344612,3.210838456,3.65286566
Ambivert,1.365305804,7.606453435,5.090416032,6.261937197,3.705266688,4.697972535,6.349330095,5.367199927,6.830794214,2.063586273,5.991563681,3.094860211,5.739897404,3.763621303,4.927499482,6.838393513,6.035459532,4.430955263,6.613995485,4.755011558,3.985445973
Introvert,5.133892797,8.740332626,4.220116882,6.754669936,2.277855772,2.524249574,8.207902221,7.147051133,6.37492117,3.141224523,1.772916156,0.725622497,7.674486227,7.145563858,3.765591829,7.146666656,3.203792467,3.48577519,3.211298643,6.860419665,4.572259672
Extrovert,8.730342217,1.843822431,7.019419836,4.886391553,7.014789516,9.357242986,8.337437281,5.290572465,5.45706776,10,5.785947799,10,4.806956484,3.078385765,7.853612089,9.634646217,8.080761235,6.389140532,6.979911745,5.45314693,10
Ambivert,5.677891635,4.359167761,5.852318473,6.045901277,6.870641112,8.267772484,7.794977029,4.300517528,5.130532994,5.609327846,3.440823204,6.88684617,3.808466145,4.614354373,5.346009044,7.638967358,7.750431024,5.097900461,5.708644797,6.651056872,8.635806361
Ambivert,5.236812347,5.000362701,6.100606506,7.631830691,6.474591933,4.397907519,9.112117571,6.162693456,4.505916683,5.814408679,6.637719662,6.00846788,6.879445051,5.275492173,5.373920668,6.8279322,10,4.128050973,5.416813533,5.001837483,7.025017997
Introvert,5.836094773,5.653300993,2.497468614,7.650704162,6.370776154,1.749824256,7.542318486,6.392605646,5.266058969,6.268083468,3.445465697,2.583111806,4.598220519,6.754756498,3.646053525,1.217077351,4.27335406,3.322302941,4.105480571,4.283217544,4.27908448
Ambivert,6.560588288,5.154969433,5.701159098,7.851347189,4.995544248,3.65770878,7.516616546,6.005368354,6.439754082,8.127512176,7.122279084,3.435671254,6.342584984,4.759073651,6.129006836,9.857699457,7.265475963,4.482550132,3.394047833,5.261946113,6.964990984
Extrovert,6.645194587,2.784511186,8.912061049,4.234942803,6.368546209,6.749292704,7.470589177,3.900838916,3.880004824,7.133591169,5.604021966,7.832390297,5.111485158,5.915383681,9.168894628,9.828520776,6.777995417,5.898696161,7.997970426,7.002532514,10
Extrovert,5.421635066,3.699790318,6.376350211,2.06009013,7.951876969,7.700493229,5.040685461,6.381255921,3.822747121,7.895273776,7.455886003,6.752763846,4.407558254,5.709247012,8.939396546,8.198211935,8.367397774,4.088773797,5.879221218,6.1706002,7.859010428
Introvert,3.26594582,8.918188028,3.275997206,6.779899109,1.383298669,3.501733922,5.717964357,7.696182431,7.716010644,4.911940561,2.949021087,1.145126327,3.60115173,8.461975298,4.566330067,6.119011498,5.497383921,5.999520266,2.604123388,3.528226474,6.985771545
Introvert,2.9983933,8.148374614,6.322127509,7.120069471,4.13260259,1.148803456,6.127087553,6.950745981,4.719361971,2.913792705,5.437058222,1.000790101,7.533542322,5.297277443,0,6.035139557,7.954112093,2.523104906,3.72600395,1.68527708,3.810897969
Ambivert,3.220197944,3.05501097,4.260498039,6.171944329,5.120167752,6.481033835,8.343935804,5.924410169,6.71129649,5.564990557,3.562305603,3.383964263,4.010055073,6.21164295,4.812028227,7.910715235,6.740657511,3.611176004,2.716170129,5.979021854,7.935384873
Extrovert,7.916909712,1.168430203,9.544954475,5.349660831,10,7.430025096,8.979302463,4.723286541,5.233554108,8.191689667,7.84343265,5.048144831,6.658056633,3.810925728,8.922430893,8.02174011,5.635323645,7.031029118,8.13645253,9.218077807,8.726219545
Extrovert,7.13909805,2.092342615,7.856528902,4.91614435,7.679430311,9.663039221,4.938789592,5.222024435,5.285575701,7.152276666,6.803009103,8.098226286,7.091393103,2.679360165,8.58367011,6.764012415,5.086656708,5.18711033,8.316704824,7.644980403,6.908610945
Ambivert,5.513935102,6.478437173,7.274487319,6.99695414,9.030531823,1.300157646,5.803141916,8.541972581,3.322322925,7.523484522,6.074094623,3.907912846,7.750221818,5.093566105,2.266697935,8.548282188,5.001089339,6.305964541,5.642827388,6.891910974,5.425452394
Ambivert,6.588885417,6.427785957,4.414837473,4.880376884,6.643142617,4.049403448,10,5.772863374,6.540638845,6.74808956,4.515626632,5.661562499,6.161372741,6.522748007,4.524019868,9.580350102,6.148515064,4.316995402,5.00310939,3.757954916,6.340062821
Introvert,5.238914921,7.62584259,3.009100307,9.323510573,5.118217228,3.526230635,4.589986072,7.101279894,5.064274383,4.962568488,2.339697708,3.329609241,5.207299086,3.768593719,2.749957481,6.387896119,5.716677762,3.939775696,4.151558577,5.82133977,2.295545513
Extrovert,9.363333555,6.539595615,10,4.155948015,8.632903249,8.6907199,7.803598835,6.158080179,6.514342343,9.531034514,5.978652446,7.737764587,5.848067552,3.523918557,9.935663976,7.199742249,5.199795734,5.798543411,8.093669038,8.883988928,6.556010551
Introvert,1.917838875,10,2.740194843,9.191955684,1.68766063,1.811516288,8.76345685,5.59364139,7.269503606,5.350707292,2.265649267,3.371624928,4.698707541,4.48441961,4.216282513,8.08082766,4.223467109,3.03342602,3.980544351,4.507274735,7.2638023
Ambivert,6.053372693,7.359879097,6.450129696,3.783823434,8.054659432,5.46580318,7.109461679,5.708104701,7.165098205,6.611277292,4.679369412,5.084740334,5.347271679,7.753124212,4.96635582,6.879272925,6.074774636,4.442123301,4.986427172,5.484616087,6.341357635
Extrovert,8.094660682,4.050987232,8.891787433,4.678696076,9.179220809,8.685664802,6.202237474,6.379746772,7.539933761,7.029646686,5.624810336,10,8.717791468,4.956966714,8.825733705,10,5.159465843,4.973704918,7.917698135,7.772738078,6.879906456
Ambivert,3.501806568,6.187812631,2.457191702,5.083768111,6.115534229,4.946000952,7.305238965,5.493968673,6.531563851,7.869724088,4.392641879,5.056646894,5.325836873,5.029286777,5.877225539,6.953764515,4.313117129,6.406772284,6.075768844,3.779446905,7.488934595
Introvert,3.597349177,8.578364054,3.669342541,6.102013741,1.906672115,1.552479243,8.20003054,5.717995299,6.920533288,2.462543772,1.50106344,4.671365613,4.796283265,5.395066975,3.660293797,6.898420303,3.555556165,6.200890183,2.588010284,1.586077213,6.666925515
Introvert,5.785008507,5.292456307,1.143704543,8.969773953,1.463181711,3.383468015,8.709869916,4.288681599,4.177098345,2.697834558,4.317212259,3.903238302,4.832936302,8.192144831,0,6.206991562,4.065171101,2.751178051,7.081964998,5.257099463,7.949015381
Introvert,3.048639906,6.423073465,3.94935354,7.356477114,3.598608577,3.310740908,5.329558449,7.982238224,6.82258678,4.372705792,1.88853037,4.736689083,6.360020559,8.569239195,4.503439675,4.908179656,4.68699452,4.289168329,1.178356697,5.614077908,4.897967647
Introvert,0.60872598,7.66679482,3.176571638,8.795560315,5.322973727,3.572329246,8.345994622,5.942392353,6.066503739,5.089429447,3.101605071,5.193439643,6.273298581,5.343485595,5.314776004,6.754779917,7.158703201,1.577818722,0.774661383,4.680938612,3.549799463
Introvert,3.045403007,8.191808743,1.32729387,6.532625865,4.126041779,5.168451404,9.244929454,5.509047714,6.329235889,5.143623792,5.289348261,1.139794421,9.03380685,9.000024607,3.347138868,6.187661808,5.881418784,3.201163525,3.242073374,3.9213141,6.035749576
Ambivert,3.679431702,5.313315216,3.714320663,9.047436666,6.487540969,5.473332057,5.445608335,6.381119588,7.250728997,8.384240821,5.295120999,4.579144421,6.763775618,8.515584361,3.958468274,5.699907359,5.417391139,6.048508231,2.84316687,5.561960868,7.564403031
Introvert,4.29540826,8.408415172,2.890864018,7.821483455,6.266245956,5.189168214,9.166087269,7.471571365,7.032276115,3.945163729,2.495505504,2.319721573,2.711418525,6.228633578,2.188388845,4.957621567,5.366395143,4.849612747,6.941946056,3.712268141,3.060827337
Introvert,3.787297488,4.845049175,6.721541469,7.296173262,5.293819786,4.417813284,8.293357507,6.151968995,4.270516602,4.841483258,4.248106666,2.507227208,4.700964922,7.08032769,1.150536101,6.781001113,3.101930799,1.264889172,3.427826891,4.92784586,6.213101677
Ambivert,5.24363492,6.258496454,7.934979206,7.484978631,7.028778881,7.478503896,5.877723955,9.001292809,5.529547167,7.714501841,1.624058955,7.658272785,7.231371948,4.743802231,6.047354105,7.642443449,5.537827544,5.216222632,5.505986694,4.48825932,6.721038099
Extrovert,7.503253601,3.093206334,8.539314898,3.871407247,9.036198823,8.735744907,4.516034359,7.935716823,8.771603265,6.630546091,7.320014563,7.555239307,8.63576769,4.549994933,7.647868774,8.680583266,5.422667887,5.610434387,8.945332929,6.919568682,6.51877951
Ambivert,5.181648548,5.218825062,6.272977161,10,6.640613338,6.503107453,5.356466138,6.183622854,4.722875241,5.94950699,3.263563799,5.028494149,5.741977475,5.390071127,4.657120598,8.476735258,5.734506482,8.990797644,4.983128849,4.983949981,6.837517332
